"Response ID";"Date submitted";"Last page";"Start language";"Seed";"Date started";"Date last action";"IP address";"Referrer URL";"Who are you?  (Multiple options can be selected)  [LTS user]";"Who are you?  (Multiple options can be selected)  [LTS contributor/developer]";"Who are you?  (Multiple options can be selected)  [LTS sponsor]";"Who are you?  (Multiple options can be selected)  [Debian developer (project member)]";"Who are you?  (Multiple options can be selected)  [Debian FTP team member]";"Who are you?  (Multiple options can be selected)  [Debian security team member]";"Who are you?  (Multiple options can be selected)  [Debian release team member]";"Who are you?  (Multiple options can be selected)  [Debian www team member]";"Who are you?  (Multiple options can be selected)  [Debian System Administrator (DSA)]";"Who are you?  (Multiple options can be selected)  [Debian Buildd Admin]";"Who are you?  (Multiple options can be selected)  [Other]";"How long have you been using Debian?";"How long have you been using LTS?";"Are you using Extended LTS (ELTS)?";"Why do you use LTS?     Please skip this and the next five questions if you are not using LTS and continue with question 11. ";"On a scale of 1 (= very unhappy) to 10 (= very happy) how happy are you with the quality of the LTS updates? [Array]";"On a scale of 1 (= very unhappy) to 10 (= very happy), how happy are you with the how quickly LTS updates reach you? [Array]";"How would you feel if you could no longer use Debian LTS?";"Where do you use Debian LTS? [At home.]";"Where do you use Debian LTS? [At work.]";"Where do you use Debian LTS? [In another organization.]";"If you use LTS at work or in an organization, how big is that organization?";"Questions for everyone again:On a scale from 1 (= very unhappy) to 10 (= very happy), if your Debian duties led you to interact with LTS contributors, how would you rate the interaction with said contributors? [Array]";"Do you see problems with/about Debian LTS and if so, which?";"What suggestions/wishes do you have for Debian LTS?";"How likely is it that you would recommend Debian LTS to a friend or colleague? (1 = very unlikely, 10 = very likely) [Array]";"Total time";"Group time: Debian LTS Survey";"Question time: G01Q001";"Question time: G01Q17";"Question time: G01Q16";"Question time: G00Q13";"Question time: G01Q05";"Question time: G01Q06";"Question time: G01Q07";"Question time: G01Q13";"Question time: G01Q18";"Question time: G01Q19";"Question time: G01Q09";"Question time: G01Q10";"Question time: G01Q11";"Question time: G01Q12"
"854";"";"";"en";"889898189";"2020-07-18 13:38:18";"2020-07-18 13:38:18";"179.210.113.149";"https://linuxdicasesuporte.blogspot.com/2020/07/debian-9-stretch-se-torna-lts-em-18-de.html";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"855";"2020-07-18 14:35:29";"1";"en";"1027442857";"2020-07-18 14:33:53";"2020-07-18 14:35:29";"81.103.53.212";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"5-10 years";"1-3 years";"No.";"Limited requirement due to unsupported binaries";"10";"9";"Not disappointed at all.";"No";"Yes";"No";"101-1000 people";"8";"";"";"8";"192.81";"192.81";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"856";"2020-07-18 15:24:41";"1";"en";"307420821";"2020-07-18 15:18:55";"2020-07-18 15:24:41";"77.111.246.7";"https://linuxreviews.org/The_Debian_Project_Wants_You_To_Tell_Them_If_And_Why_You_Are_Using_Debian_LTS_Versions";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"10-20 years";"4-6 years";"No.";"It's for my parent's computer. Just email and documents, low maintenance time cost.";"10";"10";"Very disappointed.";"Yes";"No";"No";"";"";"";"";"8";"693.66";"693.66";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"857";"";"";"en";"755248818";"2020-07-18 15:57:53";"2020-07-18 15:57:53";"82.64.59.41";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"858";"";"";"en";"1979213421";"2020-07-18 15:58:42";"2020-07-18 15:58:42";"77.114.96.202";"https://linuxreviews.org/";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"859";"";"";"en";"1392408311";"2020-07-18 16:14:01";"2020-07-18 16:14:01";"172.12.98.83";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"860";"";"";"en";"650098434";"2020-07-18 16:31:11";"2020-07-18 16:31:11";"2.58.47.203";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"861";"2020-07-18 16:50:24";"1";"en";"492526539";"2020-07-18 16:42:47";"2020-07-18 16:50:24";"77.197.247.127";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"5-10 years";"< 1 year";"No and I don't know what ELTS is.";"Because I don't want to migrate to Buster yet. For example Zabbix doesn't work properly on Buster.";"8";"";"Very disappointed.";"Yes";"Yes";"No";"11-100 people";"";"LTS is a very good thing. I don't knoy much about it since Stretch LTS is brand new.";"I wish LTS was available for much longer than 3 years. I would recommend using CentOS instead just because it is supported for 10 years.";"4";"914.59";"914.59";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"862";"2020-07-18 17:38:19";"1";"en";"1223449724";"2020-07-18 17:34:32";"2020-07-18 17:38:19";"189.142.124.105";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"10-20 years";"< 1 year";"No.";"";"10";"";"";"Yes";"No";"Yes";"11-100 people";"10";"";"";"10";"454.13";"454.13";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"863";"2020-07-18 18:59:03";"1";"en";"1986255224";"2020-07-18 18:57:18";"2020-07-18 18:59:03";"109.70.100.27";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"10-20 years";"4-6 years";"No.";"Allowing slower upgrades of machines.";"10";"10";"Somewhat disappointed.";"No";"Yes";"No";"11-100 people";"";"";"";"10";"210.6";"210.6";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"864";"2020-07-18 21:30:04";"1";"en";"1509996858";"2020-07-18 21:27:29";"2020-07-18 21:30:04";"94.72.184.133";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"< 1 year";"< 1 year";"No.";"";"10";"10";"Very disappointed.";"Yes";"Yes";"No";"";"";"";"";"10";"311.66";"311.66";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"865";"";"";"en";"1217958206";"2020-07-18 21:51:15";"2020-07-18 21:51:15";"92.177.115.175";"https://exdebian.org/articulos/encuesta-de-usuarios-y-colaboradores-de-debian-long-term-support-lts";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"866";"";"";"en";"2096580864";"2020-07-18 22:21:26";"2020-07-18 22:21:26";"186.106.31.68";"https://exdebian.org/articulos/encuesta-de-usuarios-y-colaboradores-de-debian-long-term-support-lts";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"867";"2020-07-18 23:06:18";"1";"en";"1185308854";"2020-07-18 23:01:39";"2020-07-18 23:06:18";"181.225.244.236";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"user";"10-20 years";"1-3 years";"No and I don't know what ELTS is.";"I am a software developer and love to use only well tested software only...";"7";"7";"Somewhat disappointed.";"Yes";"Yes";"No";"2-10 people";"";"The process to update/release Debian in general is too slow, according to what's happening anywhere today, but still we get great releases every time... I'd like to move a little faster, maybe releases every 12 months, just that.";"Write more about how can we help and spread the word a lot more...";"10";"556.77";"556.77";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"868";"2020-07-18 23:37:31";"1";"en";"1207700475";"2020-07-18 23:23:51";"2020-07-18 23:37:31";"80.109.146.38";"";"No";"No";"No";"Yes";"No";"No";"No";"No";"No";"No";"";"10-20 years";"I'm not using LTS.";"No.";"";"";"";"";"No";"No";"No";"";"4";"There is a friction between (E)LTS and some Debian core teams, and this friction is structural/systemic: The approaches/motives/POVs of the teams necessarily differ and are logically in potential conflict. I.e. the LTS team is responsible to the paying companies, and the contributors benefit personally from fulfilling their assigned hours. This at least can, probably subconsciously, lead to the impulse to get many and fast updates out. These interests can be in contradiction to the volunteer teams and their open or implicit motives (maintaining as ""little"" machines and architectures as possible, differentiate between DSA and point-release issues, …, in short: keep the current stable and future (and oldstable for a year) releases going). -- This friction is nothing ""personal"" or related to any ill-well on any side but a consequence of the setup with the intersection of the commercial LTS team and the volunteer core teams.";"Getting out of the dilemma mentioned in question 12 is not that simple; simply appealing to the involved persons to ""work together"" etc. won't help, as it's structural.
Of course the cleanest solution would be to separate LTS from Debian (infrastructure) like it's done for ELTS, and treat it as an endorsed and valued derivative.

Besides that Roberto's idea from some mailing list/some pad (let the LTS work in core team be done by LTS people) might help.
Or getting an agreement where LTS ""invests"" more, gives more back to Debian proper (in terms of money and/or personpower for infrastructure tasks, like fixing DAK bugs; kind of like LTS ""renting"" infrastructure, earmarking x% of (LTS money ≈) LTS time in the pool for ""Debian infrastructure maintenance/improvements"") …";"2";"1639.51";"1639.51";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"869";"2020-07-18 23:55:25";"1";"en";"1720759154";"2020-07-18 23:52:17";"2020-07-18 23:55:25";"89.129.56.127";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"5-10 years";"4-6 years";"No and I don't know what ELTS is.";"";"8";"8";"";"Yes";"Yes";"No";"11-100 people";"";"";"";"9";"374.37";"374.37";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"870";"";"";"en";"1799454137";"2020-07-18 23:58:41";"2020-07-18 23:58:41";"193.165.236.88";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"871";"";"";"en";"229892168";"2020-07-19 01:26:46";"2020-07-19 01:26:46";"185.154.60.142";"https://www.abclinuxu.cz/zpravicky/debian-9.13";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"872";"2020-07-19 01:38:15";"1";"en";"757784359";"2020-07-19 01:36:09";"2020-07-19 01:38:14";"193.165.236.88";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"10-20 years";"4-6 years";"Yes.";"";"";"";"Very disappointed.";"Yes";"Yes";"No";"Over 1000 people";"";"LTS/ELTS should be an official part of Debian. Please provide more information and be more welcoming to new collaborators (even to non-Debian developers). Clarify which of the end-users can profit from ELTS and how [1].

Allow smaller payment and arbitrary donations from people who cannot afford to pay the full price of ELTS silver level (even if they would have no influence on decision making). I would like to contribute somehow but the described rate of 255 EUR per hour is something I cannot afford and don't want to pay. However, I really appreciate the openness in this detail. This is the biggest obstacle for me to support LTS/ELTS because I cannot afford to support people with such a higher cost of living than my own.  It would cost me too much, having a negligible positive effect. I am senior programmer in Czech republic, costing my employee 10 EUR/per hour, same netto-income would be equivalent to 6.5 EUR/hour if I were a freelancer. This might be a low salary for programmer, but is (nearly) the overall average salary in my country. 
 
[1] https://wiki.debian.org/LTS/Extended mentions ELTS ""updates and security fixes will be available for all Debian users without cost"", however the linked https://deb.freexian.com/extended-lts/ says ""Subscribing to LTS at a silver level (2040 EUR / 6 months) is a pre-requisite to be able to join the Extended LTS service."" 
";"";"1";"251.76";"251.76";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"873";"2020-07-19 02:58:17";"1";"en";"1773264893";"2020-07-19 02:55:14";"2020-07-19 02:58:17";"123.50.91.172";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"10-20 years";"I'm not using LTS.";"No.";"";"";"";"";"No";"No";"No";"";"";"";"";"5";"366.28";"366.28";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"874";"2020-07-19 06:59:27";"1";"en";"1600814651";"2020-07-19 06:57:29";"2020-07-19 06:59:27";"195.28.133.68";"https://www.root.cz/zpravicky/debian-spousti-lts-pro-stretch-a-pripravil-pruzkum-mezi-uzivateli/";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"10-20 years";"1-3 years";"";"";"9";"9";"Very disappointed.";"Yes";"Yes";"No";"101-1000 people";"";"";"";"10";"237.68";"237.68";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"875";"2020-07-19 07:03:08";"1";"en";"2113314428";"2020-07-19 07:00:57";"2020-07-19 07:03:08";"93.153.54.74";"https://www.abclinuxu.cz/";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"5-10 years";"4-6 years";"No.";"";"";"";"Very disappointed.";"Yes";"Yes";"No";"11-100 people";"";"";"";"";"262.98";"262.98";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"876";"2020-07-19 07:37:56";"1";"en";"623241887";"2020-07-19 07:35:58";"2020-07-19 07:37:56";"83.240.96.183";"https://www.abclinuxu.cz/";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"10-20 years";"4-6 years";"No and I don't know what ELTS is.";"I can't upgrade beyond Debian 9 because of OpenVZ.";"8";"8";"Very disappointed.";"No";"Yes";"No";"2-10 people";"";"";"";"8";"236.62";"236.62";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"877";"2020-07-19 08:07:21";"1";"en";"1387635732";"2020-07-19 08:03:32";"2020-07-19 08:07:20";"68.231.130.68";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"1-5 years";"1-3 years";"No.";"Stability and consistency. I'm sick of things changing for the sake of change. I trust Debian to provide a stable and secure environment. ";"10";"10";"Very disappointed.";"Yes";"No";"No";"";"";"No. ";"None. ";"10";"455.91";"455.91";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"878";"2020-07-19 08:40:07";"1";"en";"2038720275";"2020-07-19 08:38:21";"2020-07-19 08:40:06";"89.177.100.149";"https://www.abclinuxu.cz/zpravicky/debian-9.13";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"10-20 years";"4-6 years";"Yes.";"incompatible libraries in new stable releases";"9";"9";"Very disappointed.";"Yes";"Yes";"Yes";"11-100 people";"8";"sometimes slow security updates";"";"8";"209.98";"209.98";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"879";"2020-07-19 11:59:01";"1";"en";"429628786";"2020-07-19 11:57:39";"2020-07-19 11:59:01";"182.2.70.62";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"5-10 years";"I'm not using LTS.";"No and I don't know what ELTS is.";"";"";"";"";"No";"No";"No";"";"";"";"";"";"163.35";"163.35";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"880";"";"";"en";"568277137";"2020-07-19 12:16:43";"2020-07-19 12:16:43";"176.97.9.142";"https://www.abclinuxu.cz/";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"881";"";"";"en";"1962805842";"2020-07-19 12:39:24";"2020-07-19 12:39:24";"194.228.13.117";"https://www.abclinuxu.cz/";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"882";"2020-07-19 13:11:00";"1";"en";"390816315";"2020-07-19 13:04:31";"2020-07-19 13:11:00";"78.102.45.202";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"10-20 years";"4-6 years";"No.";"";"10";"8";"Very disappointed.";"No";"Yes";"No";"2-10 people";"";"";"";"10";"778.25";"778.25";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"883";"";"";"en";"180432807";"2020-07-19 13:05:41";"2020-07-19 13:05:41";"92.117.110.74";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"884";"2020-07-19 18:53:04";"1";"en";"1479149038";"2020-07-19 18:52:52";"2020-07-19 18:53:04";"196.179.168.65";"";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"";"";"";"";"";"";"";"No";"No";"No";"";"";"";"";"";"25.51";"25.51";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"885";"";"";"en";"235908570";"2020-07-19 20:16:39";"2020-07-19 20:16:39";"83.59.82.8";"https://exdebian.org/articulos/encuesta-de-usuarios-y-colaboradores-de-debian-long-term-support-lts";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"886";"";"";"en";"2012567591";"2020-07-19 20:26:12";"2020-07-19 20:26:12";"185.220.101.17";"https://linuxreviews.org/The_Debian_Project_Wants_You_To_Tell_Them_If_And_Why_You_Are_Using_Debian_LTS_Versions";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"887";"";"";"en";"931165537";"2020-07-19 20:39:41";"2020-07-19 20:39:41";"188.24.38.96";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"888";"";"";"en";"162099870";"2020-07-20 00:48:53";"2020-07-20 00:48:53";"197.59.246.30";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"889";"2020-07-20 02:02:20";"1";"en";"730871829";"2020-07-20 01:46:15";"2020-07-20 02:02:20";"58.47.200.169";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"< 1 year";"< 1 year";"No.";"for fast, stable, and primarily original experience";"8";"10";"Somewhat disappointed.";"Yes";"No";"No";"";"";"too amateur to see some";"hope it could have more impact on linux";"9";"1931.05";"1931.05";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"890";"2020-07-20 08:25:16";"1";"en";"213343595";"2020-07-20 08:23:17";"2020-07-20 08:25:16";"176.220.244.182";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"10-20 years";"1-3 years";"No.";"";"10";"10";"Somewhat disappointed.";"Yes";"Yes";"No";"1 person";"";"";"";"10";"236.18";"236.18";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"891";"";"";"en";"861939701";"2020-07-20 09:13:41";"2020-07-20 09:13:41";"185.230.172.209";"https://www.root.cz/zpravicky/debian-spousti-lts-pro-stretch-a-pripravil-pruzkum-mezi-uzivateli/";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"892";"";"";"en";"1851816865";"2020-07-20 12:07:17";"2020-07-20 12:07:17";"92.63.55.28";"https://www.root.cz/zpravicky/debian-spousti-lts-pro-stretch-a-pripravil-pruzkum-mezi-uzivateli/";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"893";"";"";"en";"2065212586";"2020-07-20 12:18:38";"2020-07-20 12:18:38";"84.10.32.38";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"894";"";"";"en";"2089248390";"2020-07-20 14:37:34";"2020-07-20 14:37:34";"193.86.18.58";"https://www.abclinuxu.cz/zpravicky/debian-9.13";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"895";"";"";"en";"954113390";"2020-07-20 15:13:14";"2020-07-20 15:13:14";"87.88.171.180";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"896";"";"";"en";"484195192";"2020-07-20 16:02:33";"2020-07-20 16:02:33";"89.187.179.57";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"897";"2020-07-20 17:27:45";"1";"en";"1969329057";"2020-07-20 17:26:21";"2020-07-20 17:27:45";"91.161.86.42";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"5-10 years";"4-6 years";"No.";"";"9";"9";"Somewhat disappointed.";"No";"Yes";"No";"101-1000 people";"";"";"";"10";"169.4";"169.4";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"898";"2020-07-20 21:16:59";"1";"en";"1245130540";"2020-07-20 21:11:17";"2020-07-20 21:16:59";"87.78.37.63";"";"Yes";"No";"No";"Yes";"No";"No";"No";"No";"No";"No";"";"10-20 years";"4-6 years";"Yes.";"We have a lot of VMs at work that need to be kept up with security updates; often these replicate a setup a customer has, so we cannot simply update; in other cases, updating is sat out until +2 releases to keep disruption low.";"10";"10";"Very disappointed.";"No";"Yes";"No";"";"";"Backports are missing and really ought to be covered. For example, we have Tomcat 8.0 supported by LTS, but Tomcat upstream supports 8.5 only and we have no way to actually test 8.5, or upgrade Spring Framework to a version that requires 8.5 without either losing the base OS to an upgrade (not feasible for other reasons) or using now-insecure backports.";"Adding backports.

Other than that, completely content; the problem is rather that bugs are fixed in LTS or even ELTS that are unfixed in stable *and* unstable for *months*. LTS contributors might consider NMUing there in those cases, but I understand that would more than double the effort.";"10";"685.42";"685.42";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"899";"2020-07-21 00:25:01";"1";"en";"1434175542";"2020-07-21 00:07:29";"2020-07-21 00:25:01";"84.133.238.238";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"5-10 years";"4-6 years";"No.";"High stability and reliability. Most of the system ""just works"". Time spent doing actual work is much higher than mantaining the system. Also no worries that my system one day breaks and all my data is lost (I make backups though). ";"10";"10";"Very disappointed.";"Yes";"Yes";"No";"Over 1000 people";"";"Some Hard- or Software may only work with the latest system/kernel version.";"";"8";"2102.32";"2102.32";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"900";"2020-07-21 14:43:42";"1";"en";"1715535082";"2020-07-21 14:42:34";"2020-07-21 14:43:42";"106.212.134.199";"";"No";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"";"1-5 years";"I'm not using LTS.";"No.";"";"10";"10";"Very disappointed.";"No";"No";"No";"";"10";"";"";"10";"136.8";"136.8";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"901";"2020-07-21 15:30:04";"1";"en";"1427215917";"2020-07-21 14:49:00";"2020-07-21 15:30:04";"91.232.54.254";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"10-20 years";"4-6 years";"No.";"I generally have high trust in Debian that I can have unattended-upgrades running, do a manual full-upgrade and yet have a extremely low chance that I am forced to do ""real"" unplanned admin tasks. This allows me to have ~50 Debian servers running in our small company with minimal effort and I am able to do other projects in my worktime.
Most of the software we use on Debian does not need the newest features, it just needs to work and get security updates. In general there aren't many big changes in our infrastructure. In my situation this leads to a scenario where the biggest time sinks (in relation to total administration work) are the dist-upgrades to new Debian major releases. LTS halves these, so it saves me (guesstimated) one third of my total debian administration time.";"10";"10";"Somewhat disappointed.";"No";"Yes";"No";"11-100 people";"";"";"";"10";"4929.68";"4929.68";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"902";"2020-07-21 15:40:38";"1";"en";"1204478534";"2020-07-21 15:39:19";"2020-07-21 15:40:38";"62.102.253.54";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"1-5 years";"I'm not using LTS.";"No and I don't know what ELTS is.";"";"";"";"";"No";"No";"No";"";"";"";"";"8";"158.82";"158.82";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"903";"";"";"en";"1558386456";"2020-07-21 21:51:30";"2020-07-21 21:51:30";"41.114.239.139";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"904";"";"0";"en";"392472779";"2020-07-21 22:18:14";"2020-07-21 22:18:57";"91.182.11.42";"";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"";"10-20 years";"4-6 years";"No.";"";"";"";"";"No";"No";"No";"";"";"";"";"";"43.39";"43.39";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"905";"2020-07-22 16:02:55";"1";"en";"950525513";"2020-07-22 15:59:40";"2020-07-22 16:02:55";"93.181.12.100";"";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Debian user";"> 20 years";"I'm not using LTS.";"No and I don't know what ELTS is.";"";"";"";"";"No";"No";"No";"";"";"I see no reason to use Debian LTS, because plain Debian is stable enough and the release cycle is long enough.";"";"2";"391.06";"391.06";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"906";"";"";"en";"1550641963";"2020-07-22 16:49:50";"2020-07-22 16:49:50";"77.243.23.22";"";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"N/A";"";"";"";"";"";"";"";"";"N/A";"N/A";"N/A";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
